epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8298,1.85573,2.57423,1.65316,0.38404,0.42607,0.32194,0.13254,1.93578,2.34591,1.94465,0.000664073,0.000664073,0.000664073
2,167.015,1.93196,2.05019,1.69926,0.52142,0.47436,0.46107,0.19027,2.03305,1.91123,1.93418,0.00131756,0.00131756,0.00131756
3,245.271,1.93626,1.92261,1.69676,0.39885,0.3702,0.28168,0.09396,2.5229,2.32213,2.33774,0.00195786,0.00195786,0.00195786
4,323.543,1.8822,1.80581,1.64933,0.49315,0.54016,0.46329,0.19763,1.92648,2.10034,1.84277,0.0019406,0.0019406,0.0019406
5,401.042,1.84926,1.72361,1.63548,0.67469,0.64959,0.6782,0.31602,1.8365,1.52924,1.78512,0.0019208,0.0019208,0.0019208
6,477.929,1.79789,1.63859,1.59031,0.73472,0.65773,0.72097,0.34644,1.79564,1.39277,1.72519,0.001901,0.001901,0.001901
7,556.148,1.79547,1.58593,1.58592,0.70176,0.59166,0.64863,0.29121,1.94285,1.58045,1.8347,0.0018812,0.0018812,0.0018812
8,633.668,1.76653,1.54828,1.56195,0.74925,0.60652,0.68001,0.35052,1.80808,1.41587,1.75344,0.0018614,0.0018614,0.0018614
9,710.662,1.73104,1.49185,1.52878,0.77556,0.57525,0.67945,0.33472,1.80968,1.44428,1.7349,0.0018416,0.0018416,0.0018416
10,787.165,1.70017,1.45317,1.51287,0.78016,0.70547,0.74327,0.37515,1.74619,1.288,1.67313,0.0018218,0.0018218,0.0018218
11,863.752,1.69458,1.41655,1.51425,0.82224,0.65541,0.7664,0.39778,1.69834,1.24888,1.65663,0.001802,0.001802,0.001802
12,940.481,1.6716,1.38144,1.49757,0.78167,0.70436,0.76244,0.39058,1.75435,1.19106,1.68836,0.0017822,0.0017822,0.0017822
13,1016.63,1.65773,1.36746,1.50179,0.79051,0.68568,0.74937,0.39961,1.63966,1.24647,1.59655,0.0017624,0.0017624,0.0017624
14,1094,1.65982,1.35044,1.49274,0.72744,0.69034,0.74886,0.39433,1.67938,1.18304,1.64219,0.0017426,0.0017426,0.0017426
15,1171.68,1.63579,1.32504,1.47434,0.799,0.66007,0.75908,0.41401,1.67817,1.20255,1.63246,0.0017228,0.0017228,0.0017228
16,1248.85,1.62473,1.27714,1.4643,0.82773,0.71828,0.79494,0.41023,1.65365,1.17881,1.62586,0.001703,0.001703,0.001703
17,1326.16,1.61214,1.26714,1.46022,0.84849,0.74973,0.81742,0.43329,1.64459,1.03302,1.59673,0.0016832,0.0016832,0.0016832
18,1402.79,1.60638,1.25686,1.44122,0.79322,0.70547,0.7946,0.41806,1.65939,1.12597,1.62052,0.0016634,0.0016634,0.0016634
19,1481.8,1.59507,1.24471,1.44274,0.81998,0.70523,0.79522,0.42246,1.63049,1.2016,1.60456,0.0016436,0.0016436,0.0016436
20,1559.51,1.58468,1.22143,1.43577,0.81068,0.72875,0.80599,0.4509,1.57997,1.14943,1.57669,0.0016238,0.0016238,0.0016238
21,1636.84,1.55898,1.19295,1.41791,0.8006,0.72177,0.81461,0.44572,1.61974,1.06172,1.61048,0.001604,0.001604,0.001604
22,1714.05,1.55634,1.18533,1.4246,0.82298,0.73063,0.80827,0.42443,1.62969,1.05683,1.61811,0.0015842,0.0015842,0.0015842
23,1790.81,1.5379,1.18278,1.41325,0.81593,0.70179,0.80495,0.4371,1.60207,1.10083,1.57732,0.0015644,0.0015644,0.0015644
24,1868.14,1.52802,1.1684,1.39896,0.79542,0.75553,0.82132,0.43589,1.60749,0.99788,1.57717,0.0015446,0.0015446,0.0015446
25,1946.42,1.52808,1.14025,1.39595,0.85207,0.74428,0.82694,0.45752,1.5725,0.98269,1.54686,0.0015248,0.0015248,0.0015248
26,2025.39,1.53139,1.14057,1.40083,0.83544,0.73879,0.83307,0.46271,1.54814,0.9987,1.53066,0.001505,0.001505,0.001505
27,2104.65,1.5132,1.123,1.39123,0.84715,0.7241,0.81521,0.43227,1.61941,1.06228,1.58887,0.0014852,0.0014852,0.0014852
28,2182.98,1.49855,1.09778,1.38616,0.87294,0.69732,0.82586,0.45828,1.57491,1.05681,1.55706,0.0014654,0.0014654,0.0014654
